gender;education type;locality;religion;how_often;generation;1_event
f;general;village;no;never;7;education
f;professional;village;yes;never;8;education
m;professional;village;yes;once_a_week;5;work
f;professional;village;yes;never;9;sep
f;professional;village;no;never;8;sep
f;professional;village;yes;never;10;work
f;professional;village;no;never;6;sep
f;professional;village;no;never;5;marriage
f;professional;village;no;never;7;sep
m;higher;village;yes;never;10;sep
f;professional;village;no;never;9;work
m;professional;village;no;never;8;work
m;professional;village;no;never;9;education
m;general;village;no;never;4;work
f;general;village;no;never;6;education
f;professional;village;no;never;8;education
f;general;village;no;sev_a_week;2;education
m;higher;village;no;never;5;work
f;professional;village;yes;sev_a_year;9;marriage
m;professional;village;no;never;4;sep
f;professional;village;no;never;6;sep
f;professional;village;yes;sev_a_year;7;sep
f;professional;village;yes;never;6;sep
m;general;village;no;never;9;education
m;professional;village;no;never;5;work
f;professional;village;yes;sev_a_year;8;partner
m;professional;village;yes;never;1;sep
f;professional;village;no;never;9;marriage
m;professional;village;no;never;3;marriage
f;professional;village;yes;never;7;work
m;general;village;yes;never;4;work
m;professional;village;yes;min_once_a_month;8;work
f;professional;village;no;never;5;marriage
f;general;village;yes;never;2;work
f;higher;village;yes;never;11;child
f;higher;village;yes;sev_a_year;1;work
m;general;village;no;never;11;education
f;professional;village;no;never;7;sep
m;professional;village;no;never;6;work
m;professional;village;yes;never;10;education
f;professional;village;yes;never;1;work
m;professional;village;no;never;9;work
m;higher;village;yes;sev_a_year;9;marriage
m;general;village;yes;never;1;work
f;professional;village;yes;never;5;work
f;professional;village;yes;never;5;work
f;professional;village;yes;min_once_a_month;6;work
f;higher;village;yes;sev_a_year;7;marriage
m;professional;village;no;never;5;sep
m;higher;village;no;never;3;sep
